iter	Passed	Remaining
860	6907	1115
861	6916	1107
862	6923	1099
863	6931	1091
864	6938	1082
865	6946	1074
866	6954	1066
867	6961	1058
868	6969	1050
869	6976	1042
870	6986	1034
871	6994	1026
872	7001	1018
873	7009	1010
874	7018	1002
875	7024	994
876	7033	986
877	7039	978
878	7048	970
879	7054	962
880	7063	954
881	7070	946
882	7080	938
883	7087	930
884	7097	922
885	7103	913
886	7113	906
887	7118	897
888	7127	889
889	7133	881
890	7140	873
891	7148	865
892	7154	857
893	7163	849
894	7170	841
895	7179	833
896	7187	825
897	7196	817
898	7203	809
899	7212	801
900	7217	793
901	7227	785
902	7233	777
903	7243	769
904	7250	761
905	7260	753
906	7267	745
907	7277	737
908	7284	729
909	7295	721
910	7302	713
911	7311	705
912	7318	697
913	7326	689
914	7333	681
915	7342	673
916	7348	665
917	7356	657
918	7363	648
919	7371	641
920	7378	632
921	7385	624
922	7394	616
923	7402	608
924	7409	600
925	7417	592
926	7425	584
927	7432	576
928	7440	568
929	7446	560
930	7456	552
931	7461	544
932	7471	536
933	7478	528
934	7489	520
935	7495	512
936	7505	504
937	7511	496
938	7521	488
939	7527	480
940	7536	472
941	7542	464
942	7550	456
943	7557	448
944	7563	440
945	7572	432
946	7579	424
947	7589	416
948	7596	408
949	7605	400
950	7614	392
951	7621	384
952	7627	376
953	7636	368
954	7642	360
955	7651	352
956	7657	344
957	7666	336
958	7673	328
959	7684	320
960	7690	312
961	7700	304
962	7707	296
963	7716	288
964	7722	280
965	7731	272
966	7739	264
967	7748	256
968	7754	248
969	7762	240
970	7770	232
971	7777	224
972	7786	216
973	7794	208
974	7802	200
975	7810	192
976	7818	184
977	7825	176
978	7834	168
979	7840	160
980	7849	152
981	7854	143
982	7863	135
983	7870	127
984	7879	119
985	7887	111
986	7896	104
987	7902	95
988	7913	88
989	7918	79
990	7926	71
991	7933	63
992	7940	55
993	7948	47
994	7955	39
995	7964	31
996	7970	23
997	7981	15
998	7987	7
999	7998	0
